Node ID,Latitude,Longitude,Properties
137654728,36.1196710,-115.1383320,0
137654735,36.1196710,-115.1377320,0
137654738,36.1196710,-115.1388320,0
137655247,36.1374580,-115.1312450,0
137667252,36.1421130,-115.1483860,0
137672859,36.1463750,-115.1370160,0
137673240,36.1487020,-115.1370090,0
137675293,36.1334190,-115.1173420,0
137677514,36.1125060,-115.1589880,0
137677516,36.1123300,-115.1589670,0
137677518,36.1119690,-115.1588650,0
137677520,36.1116060,-115.1586750,0
137677522,36.1113990,-115.1585170,0
137683339,36.1334360,-115.1220890,0
137683355,36.1308050,-115.1212730,0
137685339,36.1266740,-115.1297890,0
137685342,36.1265780,-115.1297620,0
137687750,36.1255140,-115.1498730,0
137687753,36.1255030,-115.1500950,0
137687759,36.1258330,-115.1500970,0
137687762,36.1258800,-115.1500510,0
137687767,36.1258850,-115.1493810,0
137687771,36.1258860,-115.1491730,0
137687774,36.1258500,-115.1491280,0
137688663,36.1204620,-115.1470170,0
137688716,36.1330620,-115.1285950,0
137688719,36.1330530,-115.1284500,0
137688722,36.1330930,-115.1277650,0
137688725,36.1332120,-115.1276020,0
137688728,36.1333560,-115.1274750,0
137688732,36.1334030,-115.1274110,0
137688735,36.1334360,-115.1272980,0
137691320,36.1305530,-115.1355360,0
137691323,36.1306100,-115.1351110,0
137691326,36.1306450,-115.1319710,0
137691329,36.1306670,-115.1318460,0
137691331,36.1307650,-115.1316490,0
137691334,36.1307920,-115.1315590,0
137691337,36.1308460,-115.1276400,0
137691340,36.1308240,-115.1273120,0
137691343,36.1308190,-115.1241910,0
137693503,36.1379500,-115.1517720,0
137693506,36.1377030,-115.1517140,0
137693509,36.1374490,-115.1515750,0
137693512,36.1372490,-115.1513850,0
137693516,36.1371400,-115.1512420,0
137693522,36.1363360,-115.1495260,0
137693525,36.1362660,-115.1494060,0
137693527,36.1361680,-115.1492850,0
137693530,36.1360580,-115.1491970,0
137693535,36.1358700,-115.1491050,0
137693538,36.1357730,-115.1490790,0
137693541,36.1341380,-115.1490750,0
137693544,36.1339280,-115.1490090,0
137693548,36.1338270,-115.1489480,0
137693551,36.1336220,-115.1487450,0
137693555,36.1335460,-115.1486250,0
137693558,36.1332910,-115.1480220,0
137693561,36.1332040,-115.1479070,0
137693563,36.1330880,-115.1478070,0
137693566,36.1329660,-115.1477470,0
137693569,36.1328450,-115.1477190,0
137693572,36.1317410,-115.1477230,0
137693574,36.1315270,-115.1476810,0
137693577,36.1314050,-115.1476270,0
137693580,36.1312160,-115.1474800,0
137693583,36.1311000,-115.1473360,0
137693585,36.1310316,-115.1472261,0
137693588,36.1306630,-115.1463510,0
137693591,36.1304860,-115.1461350,0
137693594,36.1304020,-115.1460710,0
137693597,36.1302190,-115.1459800,0
137693600,36.1300540,-115.1459470,0
137697707,36.1396320,-115.1336200,0
137697710,36.1396120,-115.1334640,0
137697715,36.1395500,-115.1333350,0
137697717,36.1394830,-115.1332390,0
137697720,36.1393090,-115.1331500,0
137701258,36.1442360,-115.1369990,0
137705600,36.1413680,-115.1507350,0
137710510,36.1229770,-115.1321160,0
137711665,36.1155198,-115.1579577,0
137711668,36.1165026,-115.1568445,0
137711671,36.1167156,-115.1566257,0
137711674,36.1166374,-115.1564476,0
137711677,36.1165295,-115.1563210,0
137711680,36.1165280,-115.1560173,0
137711683,36.1165228,-115.1557698,0
137711686,36.1165106,-115.1555182,0
137711689,36.1164980,-115.1554070,0
137712302,36.1456500,-115.1370180,0
137712772,36.1310080,-115.1566300,0
137715384,36.1325510,-115.1646390,0
137715388,36.1323980,-115.1642260,0
137715391,36.1323520,-115.1640250,0
